Title	Author	Year	Country of Institution	Assessment Types	Concepts	Practices	Perspectives	Age Group	Setting
"Alexa, Can I Program You?": Student Perceptions of Conversational Artificial Intelligence Before and After Programming Alexa	Van Brummelen	2021	USA	Perceptions of AI	Big Idea #3: Logic Systems, Big Idea #3: Classification, Big Idea #3: Machine Learning, Big Idea #3: Transfer Learning, Big Idea #3: Natural Language Processing, Big Idea #3: Deep Learning, Big Idea #4: Chatbots, Big Idea #4: Natural Language Processing, Background: What is AI, Big Idea #5: Bias, Big Idea #5: Societal Impact, Big Idea #3: Data and data visualization	Constructing AI Artifacts: Programming and Computational thinking, Constructing AI Artifacts: Creating user interfaces, Constructing AI Artifacts: Training ML models, Constructing AI Artifacts: Testing or evaluating ML models	Digital Literacy: Awareness of AI in personal life, Critical Digital Literacy: AI systems make mistakes, Digital Literacy: AI Systems are built on human input, Identity and Social Awareness: belief in one's capability	Middle, Secondary	Extracurricular (workshop)
Evaluation of an Online Intervention to Teach Artificial Intelligence With LearningML to 10-16-Year-Old Students	Rodriguez-Garcia	2021	Spain	Knowledge Assessment	Big Idea #3: Machine Learning	Constructing AI Artifacts: Training ML models		Primary, Middle, Secondary	Informal (Asynchronous online materials)
Can Children Understand Machine Learning Concepts?: The Effect of Uncovering Black Boxes	Hitron	2019	Israel	Knowledge transfer and application, Knowledge transfer and application, Knowledge Assessment, Knowledge Assessment	Big Idea #3: Machine Learning	Constructing AI Artifacts: Testing or evaluating ML models, Constructing AI Artifacts: Testing or evaluating ML models		Primary, Middle	Laboratory
Learning machine learning with very young children: Who is teaching whom?	Vartiainen-b	2020	Finland	Knowledge transfer and application, Knowledge Assessment	Big Idea #3: Machine Learning	Constructing AI Artifacts: Training ML models		Primary	Extracurricular
PIC: A personal image classification webtool for high school students	Tang	2019	USA	Knowledge assessment, knowledge self-assessment, Student course feedback	Big Idea #3: Machine Learning	Constructing AI Artifacts: Creating user interfaces, Constructing AI Artifacts: training ML models, Constructing AI Artifacts: testing or evaluating ML models		Secondary	Laboratory
DeepScratch: Scratch Programming Language Extension for Deep Learning Education	Alturayeif	2020	Saudi Arabia	Project-Based Assessment	Big Idea #3: Machine Learning	Constructing AI Artifacts: Training ML Models		Primary, Middle, Secondary	Laboratory
Transformations of computational thinking practices in elementary school on the base of artificial intelligence technologies	Shamir	2020	Israel	Knowledge Assessment, Student Course Feedback, attitudes toward computing	Big Idea #3: Machine Learning, Background: What Is Ai	Constructing AI Artifacts: Problem Scoping, Constructing AI Artifacts: Implementation, Constructing AI Artifacts: Training ML models, Constructing AI Artifacts: Testing or evaluating ML models, Constructing AI Artifacts: Testing or evaluating ML models		Primary	Extracurricular
Any-Cubes: A Children's Toy for Learning AI: Enhanced Play with Deep Learning and MQTT	Scheidt	2019						Primary	
Classroom Activities for Teaching Artificial Intelligence to Primary School Students	Ho	2019			Big Idea #1: Computer Vision, Big Idea #3: Machine Learning, Interdisciplinary: Robotics	Analyzing AI Artifacts: data analysis, Constructing AI Artifacts: Data selection and feature selection		Primary	Classroom
Scratch nodes ML: A playful system for children to create gesture recognition classifiers	Agassi	2019						Primary, Middle	
Development of a Curriculum to Teach Basics of Artificial Intelligence	Lassig	2020		Knowledge Self-Assessment	Big Idea #1: Computer Vision, Big Idea #2: Sorting And Search, Big Idea #3: Machine Learning, Big Idea #3: Natural Language Processing, Big Idea #5: Ethics, Background: What Is Ai	Analyzing AI Artifacts: Recognizing everyday AI, Constructing AI Artifacts: Problem Scoping, Analyzing AI Artifacts: Identifying ethical implications, Constructing AI Artifacts: Implementation		Secondary	
Introducing children to machine learning concepts through hands-on experience	Hitron	2018	Israel	Knowledge assessment, Knowledge transfer and application	Big Idea #3: Machine Learning, Big Idea #3: Classification	Constructing AI Artifacts: Problem Scoping, Constructing AI Artifacts: Training ML models, Constructing AI Artifacts: Testing or evaluating ML models		Primary, Middle	Laboratory
Machine learning for middle-schoolers: Children as designers of machine-learning apps	Vartiainen-a	2020	Finland	Knowledge Assessment, Project-Based Assessment, Interviews and Discussion	Big Idea #3: Machine Learning, Big Idea #3: Classification, Background: What is AI	Constructing AI Artifacts: Design thinking, Constructing AI Artifacts: Adapting and Innovating, Constructing AI Artifacts: Collaborating, Communicating About AI: Tech/Scientific communication, Constructing AI Artifacts: Training ML models, Constructing AI Artifacts: Creating user interfaces, Constructing AI Artifacts: Evaluation	Identity and Social Awareness: Exposure to expert communities	Middle	Classroom
Using Explainability to Help Children Understand Gender Bias in AI	Melsion	2021	Sweden	Knowledge Assessment	Big Idea #3: Machine Learning, Big Idea #3: Classification, Big Idea #5: Bias	Constructing AI Artifacts: Training ML Models, Constructing AI Artifacts: Testing or Evaluating ML Models, Analyzing AI Artifacts: Evaluating bias in models		Primary, Middle	Laboratory
SmileyCluster: supporting accessible machine learning in K-12 scientific discovery	Wan	2020	USA	Knowledge Assessment, Student Course Feedback, Other, Classroom Observation	Big Idea #3: Machine Learning, Big Idea #3: Data And Data Visualization	Constructing AI Artifacts: Scientific method		Secondary	Extracurricular (summer)
Gentle Introduction to Artificial Intelligence for High-School Students Using Scratch	Estevez	2019	Spain	Knowledge Assessment, Attitudes toward computing	Big Idea #3: Machine Learning, Big Idea #3: Data And Data Visualization	Constructing AI Artifacts: Training ML models		Secondary	Extracurricular (workshop)
Demonstration of Gamification in Education for Understanding Artificial Intelligence Principles at Elementary School Level	Choi	2021	Korea	Knowledge Self-Assessment, student course feedback	Big Idea #3: Machine Learning, Big Idea #3: Deep Learning			Primary	Extracurricular (workshop)
What are GANs?: Introducing Generative Adversarial Networks to Middle School Students	Ali-b	2021	USA	Knowledge Assessment, Student Course Feedback	Big Idea #3: Machine Learning, Big Idea #3: Generators Vs. Discriminators	Analyzing AI Artifacts: Identifying the inputs and outputs of ML systems		Middle	Extracurricular (summer)
30 Minutes to Introduce AI to Kids	Candello	2019					Critical Digital Literacy: AI strengths and weaknesses, Digital Literacy: AI Systems are built on human input	Primary, Middle, Secondary	Informal (Museum)
Conversational agents to democratize artificial intelligence	Van Brummelen	2019	USA					Secondary	
It's not Magic After All - Machine Learning in Snap! using Reinforcement Learning	Jatzlau	2019						Secondary	
Unplugged Activities in the Context of AI	Lindner	2019			Big Idea #3: Classification, Big Idea #3: Machine Learning, Big Idea #3: Reinforcement Learning, Background: Humans Vs. Ai, Big Idea #4: Chatbots			Secondary	Classroom
Media literacy education in the age of machine learning	Valtonen	2019							Classroom
Inclusive AI literacy for kids around the world.	Druga	2019	USA	Perceptions of AI, Classroom Observation, Interviews and Discussion	Big Idea #3: Machine Learning, Big Idea #4: Chatbots	Constructing AI Artifacts: Programming and Computational thinking		Primary, Middle	Extracurricular (afterschool)
How to Train Your Robot: Project-Based AI and Ethics Education for Middle School Classrooms	Williams	2021	USA	Project-Based Assessment	Big Idea #3: Machine Learning, Big Idea #5: Ethics, Interdisciplinary: Robotics	Analyzing AI Artifacts: Identifying ethical implications, Analyzing AI Artifacts: Identifying stakeholders/values, Constructing AI Artifacts: Training ML models		Middle	Extracurricular (summer)
Inspiring Blind High School Students to Pursue Computer Science with Instant Messaging Chatbots	Bigham	2008	USA	Project-Based Assessment	Big Idea #4: Chatbots, Big Idea #4: Natural Language Processing, Background: Humans Vs. Ai			Secondary	Laboratory
Using Chatbots to Teach STEM Related Research Concepts to High School Students	Ureta	2018	Philippines	Project-Based Assessment	Big Idea #4: Chatbots, Big Idea #4: Systems Development, Big Idea #5: Ethics	Constructing AI Artifacts: Scientific method, Constructing AI Artifacts: Problem Scoping, Constructing AI Artifacts: Implementation, Constructing AI Artifacts: Creating user interfaces, Constructing AI Artifacts: Validating (non-ML) system		Secondary	Classroom
An Interactive Robot Platform for Introducing Reinforcement Learning to K-12 Students	Zhang	2021	USA	Knowledge assessment	Interdisciplinary: robotics, Background: What is AI, Big Idea #3: Reinforcement learning	Constructing AI Artifacts: Programming and computational thinking, Constructing AI Artifacts: Creating (non-ML) models		Secondary	Extracurricular (workshop)
Children of Color's Perceptions of Fairness in AI: An Exploration of Equitable and Inclusive Co-Design	Skinner	2020	USA	Classroom observation, Other	Big Idea #5: Design Values, Big Idea #5: Bias, Big Idea #5: Societal Impact	Constructing AI Artifacts: Design thinking, Analyzing AI Artifacts: Identifying ethical implications, Analyzing AI Artifacts: Identifying stakeholders/values	Critical Digital Literacy: AI can be both beneficial and harmful	Primary	Extracurricular (library)
Robot presidents: Who should rule the world? Teaching critical thinking in AI through reflections upon food traditions	Schaper	2020	Spain	Other	Interdisciplinary: Cultural diversity, Background: Humans vs AI, Big Idea #5: Societal Impact, Big Idea #5: Design values	Analyzing AI Artifacts: Identifying ethical implications, Analyzing AI Artifacts: Idenftifying stakeholders/values, Communicating about AI: Tech/scientific communication	Digital literacy: Awareness of AI in future, Critical digital literacy: AI strengths and weaknesses, Critical digital literacy: AI systems depend on human input	Primary	Informal (workshop in school)
Staging Reflections on Ethical Dilemmas in Machine Learning: A Card-Based Design Workshop for High School Students	Bilstrup	2020	Denmark	Classroom observation, Other	Big Idea #3: Machine Learning, Big Idea #5: Design values, Big Idea #5: Societal impact	Constructing AI Artifacts: Creating user interfaces, Constructing AI Artifacts: design thinking, Constructing AI Artifacts: prototyping, Constructing AI Artifacts: adapting and innovating, Analyzing AI artifacts: identifying ethical implications, Analyzing AI artifacts: identifying stakeholders/values, Communicating about AI: tech/scientific communication	Digital Literacy: Recognizing systems that use AI, Critical digital literacy: Stakeholders may have Different Goals For AI, Critical digital literacy: AI Can Be Both Beneficial And Harmful, Critical digital literacy: Features Can Be Added To Existing Systems	Secondary	Extracurricular (workshop)
Lessons Learned from Teaching Machine Learning and Natural Language Processing to High School Students	Nourouzi	2020	USA	Knowledge Assessment, Knowledge Self-Assessment, Student Course Feedback, Attitudes toward computing	Big Idea #3: Machine Learning, Big Idea #3: Natural Language Processing, Big Idea #3: Deep Learning, Big Idea #3: Classification, Big Idea #4: Natural Language Processing, Big Idea #5: Design Values	Constructing AI Artifacts: Training ML models, Constructing AI Artifacts: Testing or evaluating ml models, Constructing AI Artifacts: Programming and computational thinking, Constructing AI Artifacts: Collaborating, Constructing AI Artifacts: Implementation, Constructing AI Artifacts: Data selection and feature selection, Communicating about AI: Tech/scientific communication, Communicating about AI: Collaborating		Secondary	Extracurricular (workshop)
Opening the black box: educational machine learning videos for a general public audience.	Suresh	2017		Knowledge Assessment, Other	Big Idea #3: Machine Learning	Analyzing AI Artifacts: Recognizing everyday AI, Communicating About AI: Tech/Scientific communication, Constructing AI Artifacts: Training ML models		Secondary, Adult	Informal (YouTube)
Why, What and How to Help Each Citizen to Understand Artificial Intelligence?	Alexandre	2021						Secondary, Adult	Extracurricular (MOOC)
Introducing ethical thinking about autonomous vehicles into an AI course.	Furey	2018		Knowledge Assessment, Project-Based Assessment	Big Idea #5: Ethics	Analyzing AI Artifacts: Identifying ethical implications		University	
Milo: A visual programming environment for Data Science Education Proceedings of the Symposium on Visual Languages and Human-Centric Computing	Rao	2018						University	
The Popstar, the Poet, and the Grinch: Relating Artificial Intelligence to the Computational Thinking Framework with Block-based Coding.	Van Brummelen-b	2019							
Reorienting Machine Learning Education Towards Tinkerers and ML-Engaged Citizens	Lao	2020	USA			Constructing AI Artifacts: Problem Scoping, Constructing AI Artifacts: Implementation		University	Classroom
Experiences from Teaching Actionable Machine Learning at the University Level through a Small Practicum Approach	Lao	2020	USA	attitudes toward computing				University	Classroom
Learning Machine Learning with Personal Data Helps Stakeholders Ground Advocacy Arguments in Model Mechanics	Register	2020		Knowledge transfer and application				University	Laboratory
LearningML: A Tool to Foster Computational Thinking Skills Through Practical Artificial Intelligence Project	Rodriguez-Garcia	2020		Knowledge Assessment	Big Idea #3: Machine Learning	Constructing AI Artifacts: Training ML Models, Constructing AI Artifacts: Testing or evaluating ML models		University	
Using transfer learning, spectrogram audio classification, and mit app inventor to facilitate machine learning understanding	Bhatia	2020						University	
Evaluation of an artificial intelligence literacy course for university students with diverse study backgrounds	Kong	2021						University	
Oh No, Not Another Trolley! On the Need for a Co-Liberative Consciousness in CS Pedagogy	RM Williams	2021						University	
Constructionism, Ethics, and Creativity: Developing Primary and Middle School Artificial Intelligence Education	Ali	2019	USA					Primary, Middle	
Designing a Teacher PD Programme for AI–First Steps	Linder	2021	Germany					Adult	
